date,temperature,humidity,visibility,wind_speed,condition
2011-1-5,6,81,9,19,0.6
2011-1-6,4,94,7,5,0.6
2011-1-7,6,94,5,8,1
2011-1-8,7,81,10,24,0.6
2011-1-9,4,74,,16,1
2011-1-10,4,82,10,14,0.6
2011-1-11,6,84,10,19,0.6
2011-1-12,8,92,9,16,0.6
2011-1-13,12,91,9,23,0.6
2011-1-14,10,89,10,26,0.6
2011-1-15,9,79,10,24,0.6
2011-1-16,11,77,10,27,1
2011-1-17,8,92,8,10,0.6
2011-1-18,4,87,9,8,0.6
2011-1-19,3,88,9,8,1
2011-1-20,3,90,9,11,0.6
2011-1-21,2,88,8,6,1
2011-1-22,3,91,8,13,1
2011-1-23,6,90,10,14,0.6
2011-1-24,4,86,10,10,0.6
2011-1-25,6,91,9,10,0.6
2011-1-26,4,90,9,10,1
2011-1-27,2,71,10,21,1
2011-1-28,1,74,10,18,1
2011-1-29,1,80,10,13,1
2011-1-30,1,80,10,11,1
2011-1-31,2,81,10,2,1
2011-3-1,4,84,8,18,1
2011-3-2,4,79,5,18,1
2011-3-3,3,80,8,18,1
2011-3-4,3,79,9,14,1
2011-3-5,4,83,9,10,1
2011-3-6,4,70,10,18,1
2011-3-7,4,64,,10,1
2011-3-8,4,62,3,10,0.2
2011-3-9,8,61,10,23,1
2011-3-10,10,64,10,27,0.6
2011-3-11,9,63,10,14,1
2011-3-12,10,70,10,13,1
2011-3-13,10,90,8,10,0.6
2011-3-14,7,86,8,13,1
2011-3-15,7,97,0,13,0.2
2011-3-16,7,92,2,14,0.2
2011-3-17,6,87,5,8,1
2011-3-18,6,82,9,6,0.6
2011-3-19,,,,,1
2011-3-20,,,,,1
2011-3-21,12,70,10,5,1
2011-3-22,12,64,9,5,1
2011-3-23,10,76,10,5,1
2011-3-24,9,70,9,8,1
2011-3-25,10,75,8,5,1
2011-3-26,7,81,7,11,0.2
2011-3-27,8,78,7,14,1
2011-3-28,8,64,10,5,1
2011-3-29,6,67,7,5,0.2
2011-3-30,10,83,8,13,0.6
2011-3-31,14,74,10,27,1
2011-6-1,13,55,10,6,1
2011-6-2,14,66,10,8,1
2011-6-3,17,69,10,16,1
2011-6-4,18,64,10,16,1
2011-6-5,14,77,10,18,0.6
2011-6-6,11,81,9,8,0.6
2011-6-7,16,61,10,14,1
2011-6-8,13,65,10,19,0.6
2011-6-9,13,67,10,13,0.6
2011-6-10,11,73,10,6,1
2011-6-11,12,69,10,8,1
2011-6-12,11,77,9,14,0.6
2011-6-13,18,69,10,19,1
2011-6-14,15,64,10,8,1
2011-6-15,17,74,10,13,0.6
2011-6-16,14,76,10,16,0.6
2011-6-17,13,82,9,14,0.6
2011-6-18,13,74,10,24,0.6
2011-6-19,14,64,10,23,0.6
2011-6-20,13,80,10,6,0.6
